,food_id,food_group,food_subgroup,name_scientific,description
54,61,Herbs and Spices,Herbs,Coriandrum sativum,"Coriander (Coriandrum sativum), also known as cilantro, Chinese parsley or dhania, is an annual herb in the family Apiaceae. Coriander is native to regions spanning from southern Europe and North Africa to southwestern Asia. It is a soft, hairless plant growing to 50 cm tall. The leaves are variable in shape, broadly lobed at the base of the plant, and slender and feathery higher on the flowering stems. The flowers are borne in small umbels, white or very pale pink, asymmetrical, with the petals pointing away from the centre of the umbel longer (5–6 mm) than those pointing towards it (only 1–3 mm long). The fruit is a globular, dry schizocarp 3–5 mm (&#160) in diameter."
55,63,Herbs and Spices,Spices,Crocus sativus,"Saffron is a spice derived from the flower of Crocus sativus, commonly known as the saffron crocus. Crocus is a genus in the family Iridaceae. Saffron crocus grows to 20-30 cm (8-12 in) and bears up to four flowers, each with three vivid crimson stigmas, which are the distal end of a carpel. Together with the styles, or stalks that connect the stigmas to their host plant, the dried stigmas are used mainly in various cuisines as a seasoning and colouring agent. Saffron, long among the world's most costly spices by weight, is native to Greece or Southwest Asia and was first cultivated in Greece. As a genetically monomorphic clone, it was slowly propagated throughout much of Eurasia and was later brought to parts of North Africa, North America, and Oceania.

Saffron's taste and iodoform or hay-like fragrance result from the chemicals picrocrocin and safranal. It also contains a carotenoid pigment, crocin, which imparts a rich golden-yellow hue to dishes and textiles. Its recorded history is attested in a 7th-century BC Assyrian botanical treatise compiled under Ashurbanipal, and it has been traded and used for over four millennia. Iran now accounts for approximately 90% of the world production of saffron."
56,64,Vegetables,Gourds,Cucumis melo,"Muskmelon (Cucumis melo) is a species of melon that has been developed into many cultivated varieties. These include smooth skinned varieties such as honeydew, crenshaw and casaba, and different netted cultivars (cantaloupe, Persian melon and Santa Claus or Christmas melon). The Armenian cucumber is also a variety of muskmelon, but its shape, taste, and culinary uses more closely resemble those of a cucumber. The large number of cultivars in this species approaches that found in wild cabbage, though morphological variation is not as extensive. It is a fruit of a type called pepo. Muskmelon is native to Persia, Anatolia, Armenia, and adjacent areas on the west and the east which is believed to be their center of origin and development, with a secondary center including the northwest provinces of India and Afghanistan. Although truly wild forms of C. melo have not been found, several related wild species have been noted in those regions."
57,65,Vegetables,Gourds,Cucumis sativus,"Cucumber (Cucumis sativus) is a widely cultivated plant in the gourd family Cucurbitaceae. It is a creeping vine that bears cylindrical fruits that are used as culinary vegetables. There are three main varieties of cucumber: slicing, pickling, and burpless. Within these varieties, several different cultivars have emerged. The cucumber is originally from Southern Asia, but now grows on most continents. Many different varieties are traded on the global market."
58,66,Vegetables,Gourds,Cucurbita,"Cucurbita (Latin for gourd) is a genus in the gourd family Cucurbitaceae native to and originally cultivated in the Andes and Mesoamerica. The Cucurbita genus is an important source of human food and is used for other purposes such as beverages, medicine, oil, and detergent. Some Cucurbita species were brought to Europe after the discovery of America and are now used in many parts of the world. The plants, referred to as squash, pumpkin or gourd depending on species, variety and local parlance, are grown for their edible fruits and seeds. Real (bottle-)gourds, used as utensils or vessels, belong to the genus Lagenaria and are native to Africa. Lagenaria are in the same family and subfamily as Cucurbita, but different tribes."
59,67,Herbs and Spices,Spices,Cuminum cyminum,"Cumin (Cuminum cyminum) is a flowering plant in the family Apiaceae as caraway, parsley, and dill., native from the east Mediterranean to India. Its seeds (each one contained within a fruit, which is dried) are used in the cuisines of many different cultures, in both whole and ground form. It also has many uses as a traditional medicinal plant.  In the ancient Egyptian civilization, cumin was used as spice and as preservative in mummification. Cumin seed is used as a spice for its distinctive flavour and aroma. Cumin can be found in some cheeses, such as Leyden cheese, and in some traditional breads from France. Cumin can be an ingredient in chili powder (often Tex-Mex or Mexican-style), and is found in achiote blends, adobos, sofrito, garam masala, curry powder, and bahaarat. In South Asian cooking, it is often combined with coriander seeds in a powdered mixture called dhana jeera. Cumin's distinctive flavour is strong. It has a warm aroma due to its essential oil content. Its main constituent aroma compounds are cuminaldehyde (a promising agent against alpha-synuclein aggregation) and cuminic alcohol. Other important aroma compounds of toasted cumin are the substituted pyrazines, 2-ethoxy-3-isopropylpyrazine, 2-methoxy-3-sec-butylpyrazine, and 2-methoxy-3-methylpyrazine. Other components include γ-terpinene, safranal, p-cymene and β-pinene  [Wikipedia]"
60,71,Vegetables,Shoot vegetables,Cynara scolymus,"The globe artichoke (Cynara cardunculus var. scolymus) is a cultivated variety of a species of thistle. It is cultivated as a food. The edible matter is buds that form within the flower heads before the flowers come into bloom. The buds go away or change to a coarse, barely edible form when the flower blooms. The uncultivated or wild variety of the species is called a cardoon. It is a perennial plant native to the Mediterranean region."
61,72,Vegetables,Root vegetables,Daucus carota,"<i>Daucus carota</i>, whose common names include wild carrot, bird's nest, bishop's lace, and Queen Anne's lace (North America), is a flowering plant in the family <i>Apiaceae</i>, native to temperate regions of Europe, southwest Asia and naturalized to North America and Australia. Domesticated carrots are cultivars of a subspecies, <i>Daucus carota</i> subsp. <i>sativus</i>."
62,73,Fruits,Tropical fruits,Diospyros kaki,"Diospyros kaki, better known as the Japanese Persimmon, Kaki Persimmon (kaki [?]) or Asian Persimmon in North America, is the most widely cultivated species of the Diospyros genus. Although its first published botanical description was not until 1780, the kaki is also among the oldest plants in cultivation, known for its use in China for more than 2000 years. In some rural Chinese communities, the kaki fruit is seen as having a great mystical power that can be harnessed to solve headaches, back pains and foot ache ."
63,74,Herbs and Spices,Spices,Elettaria cardamomum,"Cardamom (or cardamon) refers to several plants of the similar genera Elettaria and Amomum in the ginger family Zingiberaceae. Both genera are native to India, Nepal and Bhutan; they are recognised by their small seed pods, triangular in cross-section and spindle-shaped, with a thin, papery, outer shell and small black seeds. Today, Guatemala is the biggest producer and exporter of cardamom in the world, followed by India. Some other countries such as Sri Lanka have also begun to cultivate it. Elettaria pods are light green while Amomum pods are larger and dark brown. It is the world's third most expensive spice by weight, outstripped in market value only by saffron and vanilla."
64,76,Fruits,Tropical fruits,Eriobotrya japonica,"The loquat (Eriobotrya japonica) is a species of flowering plant in the family Rosaceae, native to south-central China. It is a large evergreen shrub or small tree, grown commercially for its yellow fruit, and also cultivated as an ornamental plant.
Eriobotrya japonica was formerly thought to be closely related to the genus Mespilus, and is still sometimes known as the Japanese medlar. It is also known as Japanese plum and Chinese plum. In Japan it is called biwa. And in China, it is called Lo Guat (??) in Cantonese and pipa (??) in Mandarin. In Turkey it is known as malta eri?i, meaning Maltese plum.
Loquat fruits, growing in clusters, are oval, rounded or pear-shaped, 3?5 centimetres (1?2 in) long, with a smooth or downy, yellow or orange, sometimes red-blushed skin. The succulent, tangy flesh is white, yellow or orange and sweet to subacid or acid, depending on the cultivar."
